"Category","Overheads"
"Salary Expense",29.91
"Interest Expense ",0.87
"Marketing Expense",1.77
"Rental Expense",26.66
"Overflow Expense - Retail",3.12
"Penalty Expense",7.74
"Depreciation Expense",7.23
"Maintenance Expense",1.21
"Shipping Expense",0.37
"Human Resource Expense",21.13
